key,lastupdated,league,name,url
2," This page was last edited on 16 November 2021, at 02:47",National Basketball Association,Ossie Schectman,https://en.wikipedia.org/wiki/Ossie_Schectman
3," This page was last edited on 8 December 2021, at 16:46",National Basketball Association,Toronto Huskies,https://en.wikipedia.org/wiki/Toronto_Huskies
4," This page was last edited on 6 October 2021, at 03:35",National Basketball Association,Baltimore Bullets (1944–1954),https://en.wikipedia.org/wiki/Baltimore_Bullets_(1944%E2%80%9354)
5," This page was last edited on 6 January 2022, at 13:26",National Basketball Association,Harlem Globetrotters,https://en.wikipedia.org/wiki/Harlem_Globetrotters
7," This page was last edited on 24 December 2021, at 16:00",NBA,Maple Leaf Gardens,https://en.wikipedia.org/wiki/Maple_Leaf_Gardens
8," This page was last edited on 11 January 2022, at 16:07",BAA,American Basketball League (1925–1955),https://en.wikipedia.org/wiki/American_Basketball_League_(1925%E2%80%9355)
9," This page was last edited on 14 January 2022, at 22:35",National Basketball Association,New York Knicks,https://en.wikipedia.org/wiki/New_York_Knicks
10," This page was last edited on 13 January 2022, at 01:32",National Basketball Association,Toronto,https://en.wikipedia.org/wiki/Toronto
11," This page was last edited on 9 January 2022, at 12:30",National Basketball Association,Midwestern United States,https://en.wikipedia.org/wiki/Midwestern_United_States
12," This page was last edited on 7 January 2022, at 01:32",National Basketball Association,2021 NBA Finals,https://en.wikipedia.org/wiki/2021_NBA_Finals
13," This page was last edited on 14 January 2022, at 23:34",National Basketball Association,List of professional sports leagues by revenue,https://en.wikipedia.org/wiki/List_of_professional_sports_leagues_by_revenue
15," This page was last edited on 10 January 2022, at 09:31",National Basketball Association,Phoenix Suns,https://en.wikipedia.org/wiki/Phoenix_Suns
16," This page was last edited on 10 January 2022, at 02:05",National Basketball Association,Major League Baseball,https://en.wikipedia.org/wiki/Major_League_Baseball
20," This page was last edited on 30 September 2021, at 13:33",National Basketball Association,National Basketball League (Uganda),https://en.wikipedia.org/wiki/National_Basketball_League_(Uganda)
26," This page was last edited on 26 October 2021, at 05:06",Basketball,Premier Ultimate League,https://en.wikipedia.org/wiki/Premier_Ultimate_League
27," This page was last edited on 29 November 2021, at 09:27",NBA,Maple Leaf Square,https://en.wikipedia.org/wiki/Maple_Leaf_Square
31," This page was last edited on 30 December 2021, at 08:01",National Basketball Association,Shaq–Kobe feud,https://en.wikipedia.org/wiki/Shaq%E2%80%93Kobe_feud
33," This page was last edited on 10 January 2022, at 07:48",National Basketball Association,The Malice at the Palace,https://en.wikipedia.org/wiki/The_Malice_at_the_Palace
34," This page was last edited on 28 February 2020, at 22:21",National Basketball Association,1989 McDonald's Open,https://en.wikipedia.org/wiki/1989_McDonald%27s_Open
35," This page was last edited on 25 December 2021, at 08:48",National Basketball Association,2007 NBA All-Star Game,https://en.wikipedia.org/wiki/2007_NBA_All-Star_Game
38," This page was last edited on 25 December 2021, at 20:27",professional basketball,Lakers–Pistons rivalry,https://en.wikipedia.org/wiki/Lakers%E2%80%93Pistons_rivalry
39," This page was last edited on 28 February 2020, at 22:14",National Basketball Association,1988 McDonald's Open,https://en.wikipedia.org/wiki/1988_McDonald%27s_Open
40," This page was last edited on 25 December 2021, at 08:53",National Basketball Association,2019 NBA All-Star Game,https://en.wikipedia.org/wiki/2019_NBA_All-Star_Game
41," This page was last edited on 15 January 2022, at 04:28",National Basketball Association,2008 NBA All-Star Game,https://en.wikipedia.org/wiki/2008_NBA_All-Star_Game
42," This page was last edited on 25 December 2021, at 08:47",National Basketball Association,2005 NBA All-Star Game,https://en.wikipedia.org/wiki/2005_NBA_All-Star_Game
44," This page was last edited on 15 January 2022, at 03:20",National Basketball Association,2004 NBA All-Star Game,https://en.wikipedia.org/wiki/2004_NBA_All-Star_Game
45," This page was last edited on 30 October 2021, at 16:08",National Basketball Association,2003 NBA All-Star Game,https://en.wikipedia.org/wiki/2003_NBA_All-Star_Game
